"Ward Code","Ward Name","Local Authority","Age","Population"
"E05000726","Failsworth West","Oldham","8","114"
"E05000726","Failsworth West","Oldham","9","124"
"E05000726","Failsworth West","Oldham","10","114"
"E05000726","Failsworth West","Oldham","11","126"
"E05000727","Hollinwood","Oldham","5","167"
"E05000727","Hollinwood","Oldham","6","171"
"E05000727","Hollinwood","Oldham","7","200"
"E05000727","Hollinwood","Oldham","8","186"
"E05000727","Hollinwood","Oldham","9","192"
"E05000727","Hollinwood","Oldham","10","202"
"E05000727","Hollinwood","Oldham","11","155"
"E05000728","Medlock Vale","Oldham","5","264"
"E05000728","Medlock Vale","Oldham","6","269"
"E05000728","Medlock Vale","Oldham","7","262"
"E05000728","Medlock Vale","Oldham","8","273"
"E05000728","Medlock Vale","Oldham","9","230"
"E05000728","Medlock Vale","Oldham","10","236"
"E05000728","Medlock Vale","Oldham","11","240"
"E05000729","Royton North","Oldham","5","125"
"E05000729","Royton North","Oldham","6","93"
"E05000729","Royton North","Oldham","7","110"
"E05000729","Royton North","Oldham","8","118"
"E05000729","Royton North","Oldham","9","135"
"E05000729","Royton North","Oldham","10","103"
"E05000729","Royton North","Oldham","11","110"
"E05000730","Royton South","Oldham","5","146"
"E05000730","Royton South","Oldham","6","112"
"E05000730","Royton South","Oldham","7","133"
"E05000730","Royton South","Oldham","8","98"
"E05000730","Royton South","Oldham","9","116"
"E05000730","Royton South","Oldham","10","119"
"E05000730","Royton South","Oldham","11","111"
"E05000731","Saddleworth North","Oldham","5","87"
"E05000731","Saddleworth North","Oldham","6","99"
"E05000731","Saddleworth North","Oldham","7","121"
"E05000731","Saddleworth North","Oldham","8","105"
"E05000731","Saddleworth North","Oldham","9","101"
"E05000731","Saddleworth North","Oldham","10","100"
"E05000731","Saddleworth North","Oldham","11","102"
"E05000732","Saddleworth South","Oldham","5","97"
"E05000732","Saddleworth South","Oldham","6","97"
"E05000732","Saddleworth South","Oldham","7","112"
"E05000732","Saddleworth South","Oldham","8","111"
"E05000732","Saddleworth South","Oldham","9","100"
"E05000732","Saddleworth South","Oldham","10","111"
"E05000732","Saddleworth South","Oldham","11","115"
"E05000733","Saddleworth West and Lees","Oldham","5","113"
"E05000733","Saddleworth West and Lees","Oldham","6","116"
"E05000733","Saddleworth West and Lees","Oldham","7","121"
"E05000733","Saddleworth West and Lees","Oldham","8","117"
"E05000733","Saddleworth West and Lees","Oldham","9","146"
"E05000733","Saddleworth West and Lees","Oldham","10","110"
"E05000733","Saddleworth West and Lees","Oldham","11","95"
"E05000734","St James'","Oldham","5","195"
"E05000734","St James'","Oldham","6","204"
"E05000734","St James'","Oldham","7","208"
"E05000734","St James'","Oldham","8","198"
"E05000734","St James'","Oldham","9","187"
"E05000734","St James'","Oldham","10","170"
"E05000734","St James'","Oldham","11","162"
"E05000735","St Mary's","Oldham","5","314"
"E05000735","St Mary's","Oldham","6","292"
"E05000735","St Mary's","Oldham","7","307"
"E05000735","St Mary's","Oldham","8","279"
"E05000735","St Mary's","Oldham","9","281"
"E05000735","St Mary's","Oldham","10","283"
"E05000735","St Mary's","Oldham","11","227"
"E05000736","Shaw","Oldham","5","130"
"E05000736","Shaw","Oldham","6","141"
"E05000736","Shaw","Oldham","7","125"
"E05000736","Shaw","Oldham","8","127"
"E05000736","Shaw","Oldham","9","115"
"E05000736","Shaw","Oldham","10","81"
"E05000736","Shaw","Oldham","11","89"
"E05000737","Waterhead","Oldham","5","198"
"E05000737","Waterhead","Oldham","6","186"
"E05000737","Waterhead","Oldham","7","210"
"E05000737","Waterhead","Oldham","8","191"
"E05000737","Waterhead","Oldham","9","167"
"E05000737","Waterhead","Oldham","10","190"
"E05000737","Waterhead","Oldham","11","162"
"E05000738","Werneth","Oldham","5","271"
